Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
1,1.55032E+12,16/02/2019 13:47:33,1.55032E+12,0,16/02/2019 13:47:31,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,6040.365,32,,,,11,,,,,,
2,1.55032E+12,16/02/2019 13:47:36,1.55032E+12,0,16/02/2019 13:47:34,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,3261.11,32,,,,11,,,,,,
3,1.55032E+12,16/02/2019 13:47:39,1.55032E+12,0,16/02/2019 13:47:37,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,2783.29,32,,,,11,,,,,,
4,1.55032E+12,16/02/2019 13:47:43,1.55032E+12,0,16/02/2019 13:47:41,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,3780.085,32,,,,11,,,,,,
5,1.55032E+12,16/02/2019 13:47:43,1.55032E+12,0,16/02/2019 13:47:41,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,,,,high-low,high,11,,caller,,,,
6,1.55032E+12,16/02/2019 13:47:43,1.55032E+12,0,16/02/2019 13:47:41,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,,,,high-low,high,11,,caller,,,,
7,1.55032E+12,16/02/2019 13:47:43,1.55032E+12,0,16/02/2019 13:47:41,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,,,,high-low,high,11,,caller,,,,
8,1.55032E+12,16/02/2019 13:47:43,1.55032E+12,0,16/02/2019 13:47:41,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,,,,high-low,high,11,,caller,,,,
9,1.55032E+12,16/02/2019 13:47:45,1.55032E+12,0,16/02/2019 13:47:42,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,1729,40,0.3,high-low,high,11,fishing,fishing_h,,1728.6,1550324862746.00,1550324861017.00
10,1.55032E+12,16/02/2019 13:47:45,1.55032E+12,0,16/02/2019 13:47:43,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,61,40,0.3,high-low,high,11,fishing,fishing_h,,60.68999998,1550324862921.00,1550324862860.00
11,1.55032E+12,16/02/2019 13:47:45,1.55032E+12,0,16/02/2019 13:47:43,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,72,40,0.3,high-low,high,11,fishing,fishing_h,,71.61499999,1550324863097.00,1550324863025.00
12,1.55032E+12,16/02/2019 13:47:45,1.55032E+12,0,16/02/2019 13:47:43,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,102,40,0.3,high-low,high,11,fishing,fishing_h,,100.92,1550324863305.00,1550324863203.00
13,1.55032E+12,16/02/2019 13:47:46,1.55032E+12,0,16/02/2019 13:47:43,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,135,40,0.3,high-low,high,11,fishing,fishing_h,,134.49,1550324863545.00,1550324863410.00
