Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,Question Key,Response
1,1551893503124,06/03/2019 17:31:43,1551893502525,0,06/03/2019 17:31:42,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1551893512750,06/03/2019 17:31:52,1551893512234,0,06/03/2019 17:31:52,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,age-1,18
3,1551893512824,06/03/2019 17:31:52,1551893512235,0,06/03/2019 17:31:52,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,gender-1,Male
4,1551893512824,06/03/2019 17:31:52,1551893512236,0,06/03/2019 17:31:52,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,gender-1-quantised,2
5,1551893512824,06/03/2019 17:31:52,1551893512236,0,06/03/2019 17:31:52,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,handedness-1,Right-handed
6,1551893512824,06/03/2019 17:31:52,1551893512236,0,06/03/2019 17:31:52,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,handedness-1-quantised,1
7,1551893512824,06/03/2019 17:31:52,1551893512236,0,06/03/2019 17:31:52,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,confirmation-1-1,I do not have any psychiatric or neurological disorders
8,1551893512824,06/03/2019 17:31:52,1551893512236,0,06/03/2019 17:31:52,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,confirmation-1-2,I am not taking any medications for psychiatric disorders
9,1551893512824,06/03/2019 17:31:52,1551893512236,0,06/03/2019 17:31:52,6138,31,questionnaire-zk38,,2280230,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,Demographics,1,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,9711
1,1551893821548,06/03/2019 17:37:01,1551893821317,0,06/03/2019 17:37:01,6138,31,questionnaire-zk38,,2280311,5bcd24135c2b810001dc9756,621725,,complete,,5c8004ee1b962600165d54b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,Demographics,1,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
