,id,question,response
1,668220.0,age-1,43
2,668220.0,response-1,Bachelor's Degree
3,668220.0,response-1-quantised,2
4,668220.0,gender-1,Male
5,668220.0,gender-1-quantised,2
6,668220.0,handedness-1,Right-handed
7,668220.0,handedness-1-quantised,1
8,668220.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
9,668220.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
12,668225.0,age-1,31
13,668225.0,response-1,Post-secondary non-tertiary education
14,668225.0,response-1-quantised,1
15,668225.0,gender-1,Male
16,668225.0,gender-1-quantised,2
17,668225.0,handedness-1,Right-handed
18,668225.0,handedness-1-quantised,1
19,668225.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
20,668225.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
23,668237.0,age-1,34
24,668237.0,response-1,Post-secondary non-tertiary education
25,668237.0,response-1-quantised,1
26,668237.0,gender-1,Female
27,668237.0,gender-1-quantised,1
28,668237.0,handedness-1,Right-handed
29,668237.0,handedness-1-quantised,1
30,668237.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
31,668237.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
34,668239.0,age-1,27
35,668239.0,response-1,Post-secondary non-tertiary education
36,668239.0,response-1-quantised,1
37,668239.0,gender-1,Male
39,668239.0,handedness-1,Right-handed
40,668239.0,handedness-1-quantised,1
41,668239.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
42,668239.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
43,668239.0,gender-1-quantised,2
45,668240.0,age-1,32
46,668240.0,response-1,Post-secondary non-tertiary education
47,668240.0,response-1-quantised,1
48,668240.0,gender-1,Male
49,668240.0,gender-1-quantised,2
50,668240.0,handedness-1,Right-handed
51,668240.0,handedness-1-quantised,1
52,668240.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
53,668240.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
56,668244.0,age-1,44
57,668244.0,response-1,Bachelor's Degree
58,668244.0,response-1-quantised,2
59,668244.0,gender-1,Female
60,668244.0,gender-1-quantised,1
61,668244.0,handedness-1,Right-handed
62,668244.0,handedness-1-quantised,1
63,668244.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
64,668244.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
67,668246.0,age-1,37
68,668246.0,response-1,Post-secondary non-tertiary education
69,668246.0,response-1-quantised,1
70,668246.0,gender-1,Male
71,668246.0,gender-1-quantised,2
72,668246.0,handedness-1,Right-handed
73,668246.0,handedness-1-quantised,1
74,668246.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
75,668246.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
78,668245.0,age-1,36
79,668245.0,response-1,Post-secondary non-tertiary education
80,668245.0,response-1-quantised,1
81,668245.0,gender-1,Female
83,668245.0,handedness-1,Right-handed
84,668245.0,handedness-1-quantised,1
85,668245.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
86,668245.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
87,668245.0,gender-1-quantised,1
89,668249.0,age-1,21
90,668249.0,response-1,Post-secondary non-tertiary education
91,668249.0,response-1-quantised,1
92,668249.0,gender-1,Male
93,668249.0,gender-1-quantised,2
94,668249.0,handedness-1,Right-handed
95,668249.0,handedness-1-quantised,1
96,668249.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
97,668249.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
100,668251.0,age-1,51
101,668251.0,response-1,Post-secondary non-tertiary education
102,668251.0,response-1-quantised,1
103,668251.0,gender-1,Female
104,668251.0,gender-1-quantised,1
105,668251.0,handedness-1,Right-handed
106,668251.0,handedness-1-quantised,1
107,668251.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
108,668251.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
111,668254.0,age-1,43
112,668254.0,response-1,Bachelor's Degree
113,668254.0,response-1-quantised,2
114,668254.0,gender-1,Female
115,668254.0,gender-1-quantised,1
116,668254.0,handedness-1,Right-handed
117,668254.0,handedness-1-quantised,1
118,668254.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
119,668254.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
122,668253.0,age-1,30
123,668253.0,response-1,Bachelor's Degree
124,668253.0,response-1-quantised,2
125,668253.0,gender-1,Male
126,668253.0,gender-1-quantised,2
127,668253.0,handedness-1,Right-handed
128,668253.0,handedness-1-quantised,1
129,668253.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
130,668253.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
133,668262.0,age-1,45
134,668262.0,response-1,Bachelor's Degree
135,668262.0,response-1-quantised,2
136,668262.0,gender-1,Female
137,668262.0,gender-1-quantised,1
138,668262.0,handedness-1,Right-handed
139,668262.0,handedness-1-quantised,1
140,668262.0,confirmation-1-1,I do not have any psychiatric or neurological disorders
141,668262.0,confirmation-1-2,I am not taking any medications for psychiatric disorders
144,668263.0,age-1,3
145,668263.0,response-1,Post-secondary non-tertiary education
146,668263.0,response-1-quantised,1
147,668263.0,gender-1,Male
148,668263.0,gender-1-quantised,2
149,668263.0,handedness-1,Left-handed
