Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,key pressed,price_displayed,order,environment,round_instance,task,function id,rod fixing checked,builtin_rt,end_time,start_time,index
1,1554300485564,03/04/2019 14:08:05,1554300485475,1,03/04/2019 15:08:05,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,45039,32,null,low-high,low,null,null,instruction,null,45037.475000019185,1554300485473,1554300440434,0
2,1554300487959,03/04/2019 14:08:07,1554300487666,1,03/04/2019 15:08:07,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2187,32,null,low-high,low,null,null,instruction,null,2187.065000005532,1554300487665,1554300485478,0
3,1554300490813,03/04/2019 14:08:10,1554300490786,1,03/04/2019 15:08:10,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3119,32,null,low-high,low,null,null,instruction,null,3118.175000010524,1554300490786,1554300487667,0
4,1554300491563,03/04/2019 14:08:11,1554300491486,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,698,32,null,low-high,low,null,null,instruction,null,697.5250000250526,1554300491485,1554300490787,0
5,1554300491641,03/04/2019 14:08:11,1554300491488,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,null,low-high,low,11,null,caller,null,,,,1
6,1554300491641,03/04/2019 14:08:11,1554300491490,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,null,low-high,low,11,null,caller,null,,,,1
7,1554300491641,03/04/2019 14:08:11,1554300491492,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,null,low-high,low,11,null,caller,null,,,,1
8,1554300491641,03/04/2019 14:08:11,1554300491493,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,null,low-high,low,11,null,caller,null,,,,1
9,1554300492843,03/04/2019 14:08:12,1554300492818,1,03/04/2019 15:08:12,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1221,40,1.8,low-high,low,11,fishing,fishing_l,null,1220.4199999687262,1554300492714,1554300491493,1
10,1554300493032,03/04/2019 14:08:13,1554300492967,1,03/04/2019 15:08:12,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,47,40,1.8,low-high,low,11,fishing,fishing_l,null,46.24999995576218,1554300492866,1554300492819,1
11,1554300493171,03/04/2019 14:08:13,1554300493114,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,42,40,1.8,low-high,low,11,fishing,fishing_l,null,41.28500004298985,1554300493011,1554300492969,1
12,1554300493458,03/04/2019 14:08:13,1554300493392,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,172,40,1.8,low-high,low,11,fishing,fishing_l,null,171.1649999488145,1554300493288,1554300493116,1
13,1554300493567,03/04/2019 14:08:13,1554300493536,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,39,40,1.8,low-high,low,11,fishing,fishing_l,null,38.00000000046566,1554300493432,1554300493393,1
14,1554300493739,03/04/2019 14:08:13,1554300493706,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,68,40,1.8,low-high,low,11,fishing,fishing_l,null,67.235000024084,1554300493605,1554300493537,1
15,1554300493895,03/04/2019 14:08:13,1554300493871,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,57,40,1.8,low-high,low,11,fishing,fishing_l,null,56.379999965429306,1554300493765,1554300493708,1
16,1554300494084,03/04/2019 14:08:14,1554300494036,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,61,40,1.8,low-high,low,11,fishing,fishing_l,null,60.99500000709668,1554300493934,1554300493873,1
17,1554300494411,03/04/2019 14:08:14,1554300494198,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,57,40,1.8,low-high,low,11,fishing,fishing_l,null,56.809999980032444,1554300494094,1554300494037,1
18,1554300494536,03/04/2019 14:08:14,1554300494426,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,123,40,1.8,low-high,low,11,fishing,fishing_l,null,122.36999999731779,1554300494323,1554300494200,1
19,1554300494661,03/04/2019 14:08:14,1554300494629,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,101,40,1.8,low-high,low,11,fishing,fishing_l,null,100.5950000253506,1554300494528,1554300494427,1
20,1554300494851,03/04/2019 14:08:14,1554300494813,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,79,40,1.8,low-high,low,11,fishing,fishing_l,null,78.31000001169741,1554300494709,1554300494630,1
21,1554300495448,03/04/2019 14:08:15,1554300495383,1,03/04/2019 15:08:15,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,468,40,1.8,low-high,low,11,fishing,fishing_l,null,467.55999996094033,1554300495282,1554300494814,1
22,1554300495599,03/04/2019 14:08:15,1554300495562,1,03/04/2019 15:08:15,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,73,40,1.8,low-high,low,11,fishing,fishing_l,null,72.27499998407438,1554300495459,1554300495386,1
23,1554300495770,03/04/2019 14:08:15,1554300495734,1,03/04/2019 15:08:15,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,63,40,1.8,low-high,low,11,fishing,fishing_l,null,63.56500001857057,1554300495627,1554300495564,1
24,1554300495944,03/04/2019 14:08:15,1554300495914,1,03/04/2019 15:08:15,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,76,40,1.8,low-high,low,11,fishing,fishing_l,null,75.80999995116144,1554300495812,1554300495736,1
25,1554300496148,03/04/2019 14:08:16,1554300496105,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,86,40,1.8,low-high,low,11,fishing,fishing_l,null,86.50000003399327,1554300496003,1554300495917,1
26,1554300496355,03/04/2019 14:08:16,1554300496322,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,112,40,1.8,low-high,low,11,fishing,fishing_l,null,111.32500000530854,1554300496218,1554300496106,1
27,1554300496558,03/04/2019 14:08:16,1554300496522,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,97,40,1.8,low-high,low,11,fishing,fishing_l,null,96.40999999828637,1554300496420,1554300496323,1
28,1554300496751,03/04/2019 14:08:16,1554300496725,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,98,40,1.8,low-high,low,11,fishing,fishing_l,null,97.20499999821186,1554300496622,1554300496524,1
29,1554300496923,03/04/2019 14:08:16,1554300496903,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,74,40,1.8,low-high,low,11,fishing,fishing_l,null,73.57499998761341,1554300496800,1554300496726,1
