Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round_instance,task,function id,rod fixing checked,builtin rt,plugins end time,start_time
1,1551019854743,24/02/2019 14:50:54,1551019854634,0,24/02/2019 14:50:54,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,857,32,null,low-high,low,null,null,instruction,null,856.4250000054017,1551019854633,1551019853776
2,1551019855087,24/02/2019 14:50:55,1551019855040,0,24/02/2019 14:50:55,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,404,32,null,low-high,low,null,null,instruction,null,403.63000000070315,1551019855040,1551019854636
3,1551019855480,24/02/2019 14:50:55,1551019855458,0,24/02/2019 14:50:55,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,417,32,null,low-high,low,null,null,instruction,null,416.0699999993085,1551019855458,1551019855041
4,1551019856027,24/02/2019 14:50:56,1551019855999,0,24/02/2019 14:50:55,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,540,32,null,low-high,low,null,null,instruction,null,539.3499999991036,1551019855999,1551019855459
5,1551019856089,24/02/2019 14:50:56,1551019856002,0,24/02/2019 14:50:56,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,,,null,low-high,low,11,null,caller,null,,,
6,1551019856089,24/02/2019 14:50:56,1551019856004,0,24/02/2019 14:50:56,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,,,null,low-high,low,11,null,caller,null,,,
7,1551019856089,24/02/2019 14:50:56,1551019856007,0,24/02/2019 14:50:56,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,,,null,low-high,low,11,null,caller,null,,,
8,1551019856089,24/02/2019 14:50:56,1551019856008,0,24/02/2019 14:50:56,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,,,null,low-high,low,11,null,caller,null,,,
9,1551019857082,24/02/2019 14:50:57,1551019857036,0,24/02/2019 14:50:57,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,925,40,0.7,low-high,low,11,fishing,fishing-l,null,924.5450000016717,1551019856934,1551019856009
10,1551019857309,24/02/2019 14:50:57,1551019857282,0,24/02/2019 14:50:57,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,144,40,0.7,low-high,low,11,fishing,fishing-l,null,143.34000000235392,1551019857181,1551019857037
11,1551019857762,24/02/2019 14:50:57,1551019857726,0,24/02/2019 14:50:57,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,341,40,0.7,low-high,low,11,fishing,fishing-l,null,340.3949999992619,1551019857625,1551019857284
12,1551019857967,24/02/2019 14:50:57,1551019857935,0,24/02/2019 14:50:57,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,106,40,0.7,low-high,low,11,fishing,fishing-l,null,106.5500000040629,1551019857834,1551019857728
13,1551019858139,24/02/2019 14:50:58,1551019858109,0,24/02/2019 14:50:58,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,70,40,0.7,low-high,low,11,fishing,fishing-l,null,69.09499999892432,1551019858006,1551019857936
14,1551019858280,24/02/2019 14:50:58,1551019858257,0,24/02/2019 14:50:58,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,43,40,0.7,low-high,low,11,fishing,fishing-l,null,43.5799999977462,1551019858154,1551019858111
15,1551019858452,24/02/2019 14:50:58,1551019858423,0,24/02/2019 14:50:58,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,60,40,0.7,low-high,low,11,fishing,fishing-l,null,59.71000000135973,1551019858318,1551019858258
16,1551019858623,24/02/2019 14:50:58,1551019858590,0,24/02/2019 14:50:58,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,62,40,0.7,low-high,low,11,fishing,fishing-l,null,61.419999998179264,1551019858486,1551019858424
17,1551019858780,24/02/2019 14:50:58,1551019858754,0,24/02/2019 14:50:58,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,57,40,0.7,low-high,low,11,fishing,fishing-l,null,57.37000000226544,1551019858649,1551019858592
18,1551019858945,24/02/2019 14:50:58,1551019858916,0,24/02/2019 14:50:58,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,55,40,0.7,low-high,low,11,fishing,fishing-l,null,54.68499999551568,1551019858810,1551019858755
19,1551019859148,24/02/2019 14:50:59,1551019859096,0,24/02/2019 14:50:59,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,75,40,0.7,low-high,low,11,fishing,fishing-l,null,74.5699999970384,1551019858992,1551019858917
20,1551019859289,24/02/2019 14:50:59,1551019859259,0,24/02/2019 14:50:59,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,60,40,0.7,low-high,low,11,fishing,fishing-l,null,58.83999999787193,1551019859157,1551019859097
21,1551019859492,24/02/2019 14:50:59,1551019859462,0,24/02/2019 14:50:59,6138,22,task-5e3j,,2212913,,601478,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.109,1280x800,1280x614,,Low to High with Rod Fixing,5,Low to High,96,40,0.7,low-high,low,11,fishing,fishing-l,null,96.13499999977648,1551019859356,1551019859260
