,id,bAMI,sAMI,eAMI,tAMI
0,621711.0,8,15,8,31
1,621725.0,19,23,6,48
2,621729.0,7,9,11,27
3,621733.0,11,11,4,26
4,621734.0,15,18,12,45
5,621735.0,16,11,6,33
6,621738.0,15,8,5,28
7,621749.0,11,17,1,29
8,621753.0,11,9,5,25
9,621759.0,15,11,10,36
10,621761.0,13,14,20,47
11,621762.0,11,14,5,30
12,621770.0,13,12,1,26
13,621772.0,13,3,2,18
14,621774.0,14,6,6,26
15,621775.0,14,10,6,30
16,621785.0,7,13,7,27
17,621789.0,9,12,8,29
18,625385.0,13,16,6,35
19,625386.0,13,14,6,33
20,625389.0,0,3,3,6
21,625392.0,10,10,8,28
22,625394.0,15,11,7,33
23,625395.0,19,11,4,34
24,625403.0,6,9,6,21
25,625404.0,8,4,11,23
26,625406.0,14,13,10,37
27,625408.0,13,8,4,25
28,625410.0,12,12,10,34
29,625411.0,11,8,1,20
30,625416.0,0,10,12,22
31,625431.0,19,17,7,43
