,id,physical,cognitive,psychological,total
0,668220.0,0,0,0,0
1,668225.0,14,12,5,31
2,668237.0,12,18,2,32
3,668239.0,31,28,7,66
4,668240.0,15,15,4,34
5,668244.0,8,22,3,33
6,668245.0,13,15,3,31
7,668246.0,24,29,4,57
8,668249.0,19,21,2,42
9,668251.0,32,16,6,54
10,668253.0,9,11,1,21
11,668254.0,6,27,1,34
12,668263.0,23,29,1,53
13,668267.0,13,11,7,31
14,668270.0,26,18,5,49
15,668274.0,17,12,4,33
16,668370.0,8,11,3,22
17,672044.0,13,13,3,29
18,672045.0,9,9,3,21
19,672046.0,12,19,4,35
20,672581.0,18,15,4,37
21,672582.0,18,14,4,36
22,672585.0,11,8,1,20
23,672586.0,17,13,5,35
24,672587.0,23,23,7,53
25,672588.0,19,12,8,39
26,672590.0,8,14,2,24
27,672592.0,9,32,6,47
28,672593.0,28,27,5,60
29,672594.0,17,17,3,37
30,672595.0,14,12,5,31
31,672596.0,9,10,3,22
32,672611.0,14,7,3,24
33,672614.0,18,22,5,45
34,672655.0,25,31,6,62
35,674197.0,16,15,4,35
36,675515.0,18,12,3,33
37,675579.0,10,12,2,24
38,675592.0,10,14,4,28
39,675610.0,11,11,3,25
40,675625.0,18,19,2,39
41,675631.0,31,33,4,68
42,675635.0,11,16,2,29
43,675636.0,6,5,0,11
44,675643.0,10,12,1,23
45,675654.0,12,18,4,34
46,675662.0,12,11,2,25
47,675664.0,11,11,1,23
48,675665.0,15,8,5,28
49,675669.0,17,17,4,38
50,675670.0,14,21,2,37
51,675690.0,21,14,4,39
52,675732.0,17,21,6,44
53,676774.0,20,17,3,40
54,680108.0,15,13,2,30
55,680109.0,10,14,3,27
56,680110.0,10,7,6,23
57,680112.0,12,17,3,32
58,680113.0,9,11,1,21
59,680115.0,13,15,4,32
60,680118.0,9,5,1,15
61,680125.0,10,22,3,35
62,680126.0,20,3,5,28
63,680127.0,11,9,0,20
64,680129.0,25,23,5,53
65,680136.0,29,18,5,52
66,680155.0,16,20,4,40
67,680156.0,3,0,0,3
68,680167.0,4,3,3,10
69,680168.0,14,14,2,30
70,680171.0,23,16,5,44
71,680257.0,18,19,2,39
72,681086.0,16,21,5,42
73,683238.0,8,9,2,19
74,683239.0,27,27,6,60
75,683240.0,16,27,5,48
76,683241.0,29,14,5,48
77,683242.0,5,9,2,16
78,683243.0,28,29,7,64
79,683244.0,11,13,3,27
80,683245.0,24,11,6,41
81,683246.0,8,12,1,21
82,683250.0,12,3,0,15
83,683251.0,9,7,2,18
84,683252.0,4,3,0,7
85,683257.0,8,6,1,15
86,683259.0,13,22,4,39
87,683264.0,11,12,2,25
88,683265.0,20,20,5,45
89,683284.0,17,17,4,38
90,683302.0,8,11,1,20
91,683305.0,8,15,3,26
92,683308.0,26,28,7,61
93,683358.0,1,4,0,5
94,684252.0,7,9,2,18
95,684262.0,10,17,4,31
