,Participant Public ID,earning,prolific
0,5ab5509cf69e940001d8d954,3.0,"5ab5509cf69e940001d8d954,3.0"
1,5b245ce134ffd00001b41c00,4.0,"5b245ce134ffd00001b41c00,4.0"
2,5b8bbd437073290001839123,4.0,"5b8bbd437073290001839123,4.0"
3,5bcd24135c2b810001dc9756,4.0,"5bcd24135c2b810001dc9756,4.0"
4,5bd4869946e2010001a10827,3.0,"5bd4869946e2010001a10827,3.0"
5,5bd9957a7351b50001b2c9ba,4.0,"5bd9957a7351b50001b2c9ba,4.0"
6,5bdca092e27ddf0001185103,3.0,"5bdca092e27ddf0001185103,3.0"
7,5be7862766e3d100010397f5,3.0,"5be7862766e3d100010397f5,3.0"
8,5bf033df5fc1db00013051a0,3.0,"5bf033df5fc1db00013051a0,3.0"
9,5bfae63246911f0001d7d3f8,4.0,"5bfae63246911f0001d7d3f8,4.0"
10,5bfee33dce8e790001551d25,3.0,"5bfee33dce8e790001551d25,3.0"
11,5c0e55c7427e7b00013b7cb0,4.0,"5c0e55c7427e7b00013b7cb0,4.0"
12,5c1246ea72a5f1000117134b,3.0,"5c1246ea72a5f1000117134b,3.0"
13,5c1f89a010140800013f7ced,3.0,"5c1f89a010140800013f7ced,3.0"
14,5c3bb90ebfed770001109912,3.0,"5c3bb90ebfed770001109912,3.0"
15,5c3c6cb05060420001790d3f,3.0,"5c3c6cb05060420001790d3f,3.0"
16,5c3f31385c5fcf00015801cf,3.0,"5c3f31385c5fcf00015801cf,3.0"
17,5c40dea5f374a90001622c8e,3.0,"5c40dea5f374a90001622c8e,3.0"
18,5c4486c38bb6fd000164157d,3.0,"5c4486c38bb6fd000164157d,3.0"
19,5c536487b78e9500010dc0a1,3.0,"5c536487b78e9500010dc0a1,3.0"
20,5c55a6daf0a1fe00017f4756,3.0,"5c55a6daf0a1fe00017f4756,3.0"
21,5c59f7cb4eea0b00017c9317,3.0,"5c59f7cb4eea0b00017c9317,3.0"
22,5c635ac08a8eed000143da6c,4.0,"5c635ac08a8eed000143da6c,4.0"
23,5c655f01755ed200011bf205,2.0,"5c655f01755ed200011bf205,2.0"
24,5c658b1c2ff6e000018bfa94,3.0,"5c658b1c2ff6e000018bfa94,3.0"
25,5c65e63b67057200011abaa4,3.0,"5c65e63b67057200011abaa4,3.0"
26,5c66bbd0d0fb37000172fdfe,3.0,"5c66bbd0d0fb37000172fdfe,3.0"
27,5c6c53f1c3aa150001144ea6,3.0,"5c6c53f1c3aa150001144ea6,3.0"
28,5c75779b280f660019d7ca5f,4.0,"5c75779b280f660019d7ca5f,4.0"
29,5c75bbfec84cc10001508282,3.0,"5c75bbfec84cc10001508282,3.0"
30,5c7ae077477abb00168f812e,3.0,"5c7ae077477abb00168f812e,3.0"
31,5c7f17223eaee4001614f4b1,3.0,"5c7f17223eaee4001614f4b1,3.0"
