Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round_instance,task,function id,rod fixing checked,builtin_rt,end_time,start_time
1,1551625591853,03/03/2019 15:06:31,1551625591126,0,03/03/2019 15:06:31,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,1778,32,null,low-high,low,null,null,instruction,null,1777.5450000772253,1551625591124,1551625589346
2,1551625597528,03/03/2019 15:06:37,1551625596868,0,03/03/2019 15:06:36,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,5739,32,null,low-high,low,null,null,instruction,null,5738.359999959357,1551625596867,1551625591128
3,1551625598692,03/03/2019 15:06:38,1551625598045,0,03/03/2019 15:06:38,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,1173,32,null,low-high,low,null,null,instruction,null,1172.3049998981878,1551625598043,1551625596870
4,1551625601992,03/03/2019 15:06:41,1551625601299,0,03/03/2019 15:06:41,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,3250,32,null,low-high,low,null,null,instruction,null,3249.294999986887,1551625601298,1551625598048
5,1551625602039,03/03/2019 15:06:42,1551625601303,0,03/03/2019 15:06:41,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,null,low-high,low,11,null,caller,null,,,
6,1551625602039,03/03/2019 15:06:42,1551625601306,0,03/03/2019 15:06:41,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,null,low-high,low,11,null,caller,null,,,
7,1551625602039,03/03/2019 15:06:42,1551625601311,0,03/03/2019 15:06:41,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,null,low-high,low,11,null,caller,null,,,
8,1551625602039,03/03/2019 15:06:42,1551625601317,0,03/03/2019 15:06:41,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,null,low-high,low,11,null,caller,null,,,
9,1551625608283,03/03/2019 15:06:48,1551625602894,0,03/03/2019 15:06:42,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,1473,40,0.7,low-high,low,11,fishing,fishing_l,null,1471.7550000641495,1551625602791,1551625601318
10,1551625637608,03/03/2019 15:07:17,1551625603148,0,03/03/2019 15:06:43,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,148,40,0.7,low-high,low,11,fishing,fishing_l,null,147.30499999132007,1551625603047,1551625602899
