Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
1,1.55E+12,19/02/2019 02:16:57,1.55E+12,8,19/02/2019 10:17:00,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,21636,32,null,high-low,high,null,null,instruction,null,21634.771,1550542620861.00,1550542599225.00
2,1.55E+12,19/02/2019 02:17:54,1.55E+12,8,19/02/2019 10:17:58,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,57544,32,null,high-low,high,null,null,instruction,null,57543.077,1550542678417.00,1550542620873.00
3,1.55E+12,19/02/2019 02:18:26,1.55E+12,8,19/02/2019 10:18:29,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,31554,32,null,high-low,high,null,null,instruction,null,31553.208,1550542709978.00,1550542678424.00
4,1.55E+12,19/02/2019 02:18:36,1.55E+12,8,19/02/2019 10:18:39,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,9610,32,null,high-low,high,null,null,instruction,null,9610.718,1550542719592.00,1550542709982.00
5,1.55E+12,19/02/2019 02:18:36,1.55E+12,8,19/02/2019 10:18:39,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,null,high-low,high,11,null,caller,null,,,
6,1.55E+12,19/02/2019 02:18:36,1.55E+12,8,19/02/2019 10:18:39,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,null,high-low,high,11,null,caller,null,,,
7,1.55E+12,19/02/2019 02:18:36,1.55E+12,8,19/02/2019 10:18:39,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,null,high-low,high,11,null,caller,null,,,
8,1.55E+12,19/02/2019 02:18:36,1.55E+12,8,19/02/2019 10:18:39,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,null,high-low,high,11,null,caller,null,,,
9,1.55E+12,19/02/2019 02:18:38,1.55E+12,8,19/02/2019 10:18:41,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,2239,40,0.7,high-low,high,11,fishing,fishing_h,null,2237.852,1550542721842.00,1550542719603.00
10,1.55E+12,19/02/2019 02:18:38,1.55E+12,8,19/02/2019 10:18:42,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,88,40,0.7,high-low,high,11,fishing,fishing_h,null,85.99499986,1550542722037.00,1550542721949.00
