index,trial_index,id,price_displayed,key pressed,environment,order,round_instance,task,function_id,quality_check,builtin_rt,end_time,start_time,Participant Public ID,latency
105219,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,1318.5549999998332,1554474856054.0,1554474854733.0,BLIND,1325.0
105220,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,148.73500000021886,1554474856208.0,1554474856058.0,BLIND,154.0
105221,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,168.56000000007043,1554474856381.0,1554474856212.0,BLIND,172.0
105222,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,150.41500000006639,1554474856535.0,1554474856384.0,BLIND,154.0
105223,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,179.21500000011292,1554474856717.0,1554474856538.0,BLIND,182.0
105224,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,169.54000000032102,1554474856890.0,1554474856720.0,BLIND,175.0
105225,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,155.95999999959895,1554474857052.0,1554474856895.0,BLIND,160.0
105226,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,169.17999999986202,1554474857225.0,1554474857055.0,BLIND,182.0
105541,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,1066.6249999999272,1554474908069.0,1554474907002.0,BLIND,1071.0
105542,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,173.64999999971766,1554474908247.0,1554474908073.0,BLIND,178.0
105543,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,166.5600000001141,1554474908418.0,1554474908251.0,BLIND,171.0
105544,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,177.20000000008443,1554474908600.0,1554474908422.0,BLIND,182.0
105545,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,180.6599999999889,1554474908785.0,1554474908604.0,BLIND,184.0
105546,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,168.15499999983876,1554474908957.0,1554474908788.0,BLIND,174.0
105547,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,178.1350000001112,1554474909141.0,1554474908962.0,BLIND,183.0
105548,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,173.00500000010655,1554474909319.0,1554474909145.0,BLIND,187.0
105856,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,571.4100000000035,1554474959817.0,1554474959245.0,BLIND,576.0
105857,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,166.4150000001537,1554474959988.0,1554474959821.0,BLIND,172.0
105858,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,158.17500000001746,1554474960152.0,1554474959993.0,BLIND,163.0
105859,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,179.41000000017812,1554474960336.0,1554474960156.0,BLIND,186.0
105860,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,166.1400000002468,1554474960509.0,1554474960342.0,BLIND,171.0
105861,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,169.5549999999348,1554474960684.0,1554474960513.0,BLIND,175.0
105862,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,158.39499999993131,1554474960847.0,1554474960688.0,BLIND,334.0
106262,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,1645.8700000002866,1554475043299.0,1554475041653.0,BLIND,1651.0
106263,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,166.16000000020722,1554475043471.0,1554475043304.0,BLIND,170.0
106264,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,158.42000000021653,1554475043633.0,1554475043474.0,BLIND,162.0
106265,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,169.74500000016997,1554475043807.0,1554475043636.0,BLIND,174.0
106266,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,180.47999999998137,1554475043991.0,1554475043810.0,BLIND,184.0
106267,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,173.5950000002049,1554475044168.0,1554475043994.0,BLIND,178.0
106268,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,189.35499999998137,1554475044362.0,1554475044172.0,BLIND,350.0
106590,8.0,668220.0,0.7,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,886.8900000002467,1554475094828.0,1554475093940.0,BLIND,893.0
106591,8.0,668220.0,0.7,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,167.1500000002561,1554475095001.0,1554475094833.0,BLIND,172.0
106592,8.0,668220.0,0.7,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,182.93000000040047,1554475095189.0,1554475095005.0,BLIND,189.0
