index,id,environment,trial_label,trial_index,sum_latency,key_pressed
668220.0 11.0 12.0,668220.0,high,11.0 12.0,7,2392.0,7
668220.0 11.0 22.0,668220.0,high,11.0 22.0,7,1961.0,7
668220.0 3.0 12.0,668220.0,high,3.0 12.0,8,2491.0,8
668220.0 4.0 22.0,668220.0,high,4.0 22.0,7,2237.0,7
668220.0 7.0 12.0,668220.0,high,7.0 12.0,7,2312.0,7
668220.0 8.0 22.0,668220.0,high,8.0 22.0,7,2424.0,7
668220.0 11.0 11.0,668220.0,low,11.0 11.0,7,1777.0,7
668220.0 11.0 21.0,668220.0,low,11.0 21.0,8,2261.0,8
668220.0 3.0 11.0,668220.0,low,3.0 11.0,8,2504.0,8
668220.0 4.0 21.0,668220.0,low,4.0 21.0,7,2869.0,7
668220.0 7.0 11.0,668220.0,low,7.0 11.0,8,2330.0,8
668220.0 8.0 21.0,668220.0,low,8.0 21.0,8,2122.0,8
668225.0 11.0 12.0,668225.0,high,11.0 12.0,7,1869.0,7
668225.0 11.0 22.0,668225.0,high,11.0 22.0,8,1823.0,8
668225.0 3.0 12.0,668225.0,high,3.0 12.0,7,1988.0,7
668225.0 4.0 22.0,668225.0,high,4.0 22.0,7,1984.0,7
668225.0 7.0 12.0,668225.0,high,7.0 12.0,7,1541.0,7
668225.0 8.0 22.0,668225.0,high,8.0 22.0,7,1751.0,7
668225.0 11.0 11.0,668225.0,low,11.0 11.0,7,1740.0,7
668225.0 11.0 21.0,668225.0,low,11.0 21.0,8,1893.0,8
668225.0 3.0 11.0,668225.0,low,3.0 11.0,8,2180.0,8
668225.0 4.0 21.0,668225.0,low,4.0 21.0,7,2095.0,7
668225.0 7.0 11.0,668225.0,low,7.0 11.0,8,2644.0,8
668225.0 8.0 21.0,668225.0,low,8.0 21.0,7,2213.0,7
668237.0 11.0 11.0,668237.0,high,11.0 11.0,7,2279.0,7
668237.0 11.0 21.0,668237.0,high,11.0 21.0,7,2063.0,7
668237.0 3.0 11.0,668237.0,high,3.0 11.0,7,1962.0,7
668237.0 4.0 21.0,668237.0,high,4.0 21.0,8,1979.0,8
668237.0 7.0 11.0,668237.0,high,7.0 11.0,7,1814.0,7
668237.0 8.0 21.0,668237.0,high,8.0 21.0,8,2078.0,8
668237.0 11.0 12.0,668237.0,low,11.0 12.0,7,2081.0,7
668237.0 11.0 22.0,668237.0,low,11.0 22.0,7,1918.0,7
668237.0 3.0 12.0,668237.0,low,3.0 12.0,7,1879.0,7
668237.0 4.0 22.0,668237.0,low,4.0 22.0,1,886.0,1
668237.0 7.0 12.0,668237.0,low,7.0 12.0,7,1865.0,7
668237.0 8.0 22.0,668237.0,low,8.0 22.0,8,2196.0,8
668239.0 11.0 11.0,668239.0,high,11.0 11.0,8,1200.0,8
668239.0 11.0 21.0,668239.0,high,11.0 21.0,7,1489.0,7
668239.0 3.0 11.0,668239.0,high,3.0 11.0,7,1811.0,7
668239.0 4.0 21.0,668239.0,high,4.0 21.0,6,1491.0,6
668239.0 7.0 11.0,668239.0,high,7.0 11.0,8,1410.0,8
668239.0 8.0 21.0,668239.0,high,8.0 21.0,6,1785.0,6
668239.0 11.0 12.0,668239.0,low,11.0 12.0,7,1411.0,7
668239.0 11.0 22.0,668239.0,low,11.0 22.0,7,1229.0,7
668239.0 3.0 12.0,668239.0,low,3.0 12.0,8,1404.0,8
668239.0 4.0 22.0,668239.0,low,4.0 22.0,7,1201.0,7
