,id,price_displayed,key pressed,environment,order,round_instance,task,function_id,quality_check,builtin_rt,end_time,start_time,Participant Public ID,latency
187,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,918.1100000278093,1551893992387.0,1551893991468.0,5c0e55c7427e7b00013b7cb0,921.0
188,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,136.4049999974668,1551893992526.0,1551893992389.0,5c0e55c7427e7b00013b7cb0,138.0
189,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,139.65500000631437,1551893992667.0,1551893992527.0,5c0e55c7427e7b00013b7cb0,142.0
190,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,120.15500001143663,1551893992790.0,1551893992669.0,5c0e55c7427e7b00013b7cb0,123.0
191,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,139.33999999426302,1551893992931.0,1551893992792.0,5c0e55c7427e7b00013b7cb0,141.0
192,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,132.35500000882894,1551893993066.0,1551893992933.0,5c0e55c7427e7b00013b7cb0,135.0
193,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,131.35999999940395,1551893993200.0,1551893993068.0,5c0e55c7427e7b00013b7cb0,134.0
194,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,132.73499999195334,1551893993335.0,1551893993202.0,5c0e55c7427e7b00013b7cb0,50544.0
540,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,850.2849999931641,1551894044597.0,1551894043746.0,5c0e55c7427e7b00013b7cb0,853.0
541,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,259.0499999932945,1551894044858.0,1551894044599.0,5c0e55c7427e7b00013b7cb0,262.0
542,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,137.01499998569486,1551894044998.0,1551894044861.0,5c0e55c7427e7b00013b7cb0,139.0
543,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,121.05000001611187,1551894045121.0,1551894045000.0,5c0e55c7427e7b00013b7cb0,123.0
544,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,116.19999998947605,1551894045240.0,1551894045123.0,5c0e55c7427e7b00013b7cb0,118.0
545,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,142.325000022538,1551894045384.0,1551894045241.0,5c0e55c7427e7b00013b7cb0,145.0
546,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,155.29500000411645,1551894045542.0,1551894045386.0,5c0e55c7427e7b00013b7cb0,158.0
547,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,128.52000002749264,1551894045673.0,1551894045544.0,5c0e55c7427e7b00013b7cb0,50471.0
889,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,732.8700000070967,1551894096748.0,1551894096015.0,5c0e55c7427e7b00013b7cb0,735.0
890,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,143.00999999977648,1551894096893.0,1551894096750.0,5c0e55c7427e7b00013b7cb0,146.0
891,621711.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,136.59000000916419,1551894097032.0,1551894096896.0,5c0e55c7427e7b00013b7cb0,138.0
