Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time
1,1551894730542,06/03/2019 17:52:10,1551894729894,0,06/03/2019 17:52:09,6138,31,task-lgcm,,2280565,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Mostly untrue"",""Q1"":""Completely UNTRUE"",""Q2"":""Mostly untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Neither true nor untrue""}",23996.640000026673
2,1551894755364,06/03/2019 17:52:35,1551894754808,0,06/03/2019 17:52:34,6138,31,task-lgcm,,2280565,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Completely TRUE"",""Q1"":""Mostly untrue"",""Q2"":""Quite true"",""Q3"":""Neither true nor untrue"",""Q4"":""Completely TRUE"",""Q5"":""Quite true""}",24902.055000013206
3,1551894775365,06/03/2019 17:52:55,1551894774818,0,06/03/2019 17:52:54,6138,31,task-lgcm,,2280565,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Mostly untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",20000.660000019707
1,1551894920589,06/03/2019 17:55:20,1551894920360,0,06/03/2019 17:55:20,6138,31,task-lgcm,,2280626,5bcd24135c2b810001dc9756,621725,,complete,,5c8004ee1b962600165d54b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,AMI,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Completely UNTRUE"",""Q2"":""Mostly untrue"",""Q3"":""Completely UNTRUE"",""Q4"":""Mostly untrue"",""Q5"":""Completely TRUE""}",21431.49000001722
2,1551894942893,06/03/2019 17:55:42,1551894942739,0,06/03/2019 17:55:42,6138,31,task-lgcm,,2280626,5bcd24135c2b810001dc9756,621725,,complete,,5c8004ee1b962600165d54b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,AMI,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Neither true nor untrue"",""Q1"":""Completely UNTRUE"",""Q2"":""Completely UNTRUE"",""Q3"":""Mostly untrue"",""Q4"":""Mostly untrue"",""Q5"":""Mostly untrue""}",22330.950000003213
3,1551894962734,06/03/2019 17:56:02,1551894962573,0,06/03/2019 17:56:02,6138,31,task-lgcm,,2280626,5bcd24135c2b810001dc9756,621725,,complete,,5c8004ee1b962600165d54b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,AMI,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Completely UNTRUE"",""Q2"":""Mostly untrue"",""Q3"":""Quite true"",""Q4"":""Completely UNTRUE"",""Q5"":""Quite true""}",19790.749999985565
1,1551895394250,06/03/2019 18:03:14,1551895393601,0,06/03/2019 18:03:13,6138,31,task-lgcm,,2280680,5c536487b78e9500010dc0a1,621729,,complete,,5c8005472d63590001fd7a4a,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Neither true nor untrue"",""Q1"":""Neither true nor untrue"",""Q2"":""Neither true nor untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",31616
2,1551895429174,06/03/2019 18:03:49,1551895428622,0,06/03/2019 18:03:48,6138,31,task-lgcm,,2280680,5c536487b78e9500010dc0a1,621729,,complete,,5c8005472d63590001fd7a4a,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Mostly untrue"",""Q1"":""Neither true nor untrue"",""Q2"":""Quite true"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",35005.000000000015
3,1551895450392,06/03/2019 18:04:10,1551895449811,0,06/03/2019 18:04:09,6138,31,task-lgcm,,2280680,5c536487b78e9500010dc0a1,621729,,complete,,5c8005472d63590001fd7a4a,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Neither true nor untrue"",""Q3"":""Neither true nor untrue"",""Q4"":""Quite true"",""Q5"":""Neither true nor untrue""}",21178
1,1551895128831,06/03/2019 17:58:48,1551895130095,-5,06/03/2019 12:58:50,6138,31,task-lgcm,,2280703,5b245ce134ffd00001b41c00,621735,,complete,,5c80063ed88a5100169df6b7,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x719,after questionnairs,AMI,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Neither true nor untrue"",""Q3"":""Quite true"",""Q4"":""Mostly untrue"",""Q5"":""Quite true""}",18807.789999991655
